,Title,Date,Fragments,,,,Lab/Ops,Principles,,,,
183,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,in a greater heat the sulphureous part and volatil salt of,,,,1,,,,,
184,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,a flegm impregnated with the salt and sulphur of venus or,,,,1,,,,,
185,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,this lixivium draw  the salt of guaiacum to the same,,,,1,,,,,
189,"An apologie for the ministry and its maintenance wherein is set forth the necessity, dignity and efficacy of a gospel-ministry against the Socinians, Swenckfieldians, Weigelians, Anabaptists, Enthusiasts, Familists, Seekers, Quakers, Levellers, Libertines and the rest of that rout ... / by Tho. Hall.",1660-01-01,yet they are not properly salt neither they are but the,,,,,,,,,
190,"An apologie for the ministry and its maintenance wherein is set forth the necessity, dignity and efficacy of a gospel-ministry against the Socinians, Swenckfieldians, Weigelians, Anabaptists, Enthusiasts, Familists, Seekers, Quakers, Levellers, Libertines and the rest of that rout ... / by Tho. Hall.",1660-01-01,our brother must correct the salt of correction and the salt,,,,,,,,,
191,"An apologie for the ministry and its maintenance wherein is set forth the necessity, dignity and efficacy of a gospel-ministry against the Socinians, Swenckfieldians, Weigelians, Anabaptists, Enthusiasts, Familists, Seekers, Quakers, Levellers, Libertines and the rest of that rout ... / by Tho. Hall.",1660-01-01,corn the cretians with this salt tit   rebuke them,,,,,,,,,
192,"An apologie for the ministry and its maintenance wherein is set forth the necessity, dignity and efficacy of a gospel-ministry against the Socinians, Swenckfieldians, Weigelians, Anabaptists, Enthusiasts, Familists, Seekers, Quakers, Levellers, Libertines and the rest of that rout ... / by Tho. Hall.",1660-01-01,neither they are but the salters or seasoners but our saviour,,,,,1,,,,
193,"An apologie for the ministry and its maintenance wherein is set forth the necessity, dignity and efficacy of a gospel-ministry against the Socinians, Swenckfieldians, Weigelians, Anabaptists, Enthusiasts, Familists, Seekers, Quakers, Levellers, Libertines and the rest of that rout ... / by Tho. Hall.",1660-01-01,be seasoned with this heavenly salt that they be not corrupted,,,,,1,,,,
194,"An apologie for the ministry and its maintenance wherein is set forth the necessity, dignity and efficacy of a gospel-ministry against the Socinians, Swenckfieldians, Weigelians, Anabaptists, Enthusiasts, Familists, Seekers, Quakers, Levellers, Libertines and the rest of that rout ... / by Tho. Hall.",1660-01-01,gospel ministry take away this salt and you have the world,,,,,1,,,,
195,"An apologie for the ministry and its maintenance wherein is set forth the necessity, dignity and efficacy of a gospel-ministry against the Socinians, Swenckfieldians, Weigelians, Anabaptists, Enthusiasts, Familists, Seekers, Quakers, Levellers, Libertines and the rest of that rout ... / by Tho. Hall.",1660-01-01,also that in calling them salt he doth as it were,,,,,,,,,
196,"Fides-Anglicana, or, A plea for the publick-faith of these nations lately pawned, forfeited and violated by some of their former trustees to the rendering it as infamous as fides-punica was heretofore : it is humbly offered to consideration in a petitionary remonstrance to all in authority on the behalf of many thousands to whom securities were given upon the said public-faith and was prepared to have been put forth during the sitting of the last Parliament ... / by the author George Wither.",1660-01-01,hither hony oyl saffron wood salt silver and you send us,,,,1,,,,,
197,"Fides-Anglicana, or, A plea for the publick-faith of these nations lately pawned, forfeited and violated by some of their former trustees to the rendering it as infamous as fides-punica was heretofore : it is humbly offered to consideration in a petitionary remonstrance to all in authority on the behalf of many thousands to whom securities were given upon the said public-faith and was prepared to have been put forth during the sitting of the last Parliament ... / by the author George Wither.",1660-01-01,with a little more salt sulphur and mercury then usual that,,,,,1,,,,
198,"Fides-Anglicana, or, A plea for the publick-faith of these nations lately pawned, forfeited and violated by some of their former trustees to the rendering it as infamous as fides-punica was heretofore : it is humbly offered to consideration in a petitionary remonstrance to all in authority on the behalf of many thousands to whom securities were given upon the said public-faith and was prepared to have been put forth during the sitting of the last Parliament ... / by the author George Wither.",1660-01-01,a preparation to the psalter in folio  exercises on,,,,,,,,,
199,"Fides-Anglicana, or, A plea for the publick-faith of these nations lately pawned, forfeited and violated by some of their former trustees to the rendering it as infamous as fides-punica was heretofore : it is humbly offered to consideration in a petitionary remonstrance to all in authority on the behalf of many thousands to whom securities were given upon the said public-faith and was prepared to have been put forth during the sitting of the last Parliament ... / by the author George Wither.",1660-01-01,them by a most prodigious sulphurous fire descending from heaven to,,,,,,,,,
200,"Fides-Anglicana, or, A plea for the publick-faith of these nations lately pawned, forfeited and violated by some of their former trustees to the rendering it as infamous as fides-punica was heretofore : it is humbly offered to consideration in a petitionary remonstrance to all in authority on the behalf of many thousands to whom securities were given upon the said public-faith and was prepared to have been put forth during the sitting of the last Parliament ... / by the author George Wither.",1660-01-01,a suddain flash ver  salt upon salt ver  amigdala,,,,,,,,,
201,"Fides-Anglicana, or, A plea for the publick-faith of these nations lately pawned, forfeited and violated by some of their former trustees to the rendering it as infamous as fides-punica was heretofore : it is humbly offered to consideration in a petitionary remonstrance to all in authority on the behalf of many thousands to whom securities were given upon the said public-faith and was prepared to have been put forth during the sitting of the last Parliament ... / by the author George Wither.",1660-01-01,flash ver  salt upon salt ver  amigdala britannica or,,,,,,,,,
